recent_team,passing_tds,week,completions,attempts,passing_yards,passing_yards_after_catch,sacks,passing_epa
MIA,0,15,2,2,4,12,0,-1.8901005836669356
ATL,0,18,3,4,27,29,1,-10.079575101757657
PIT,0,15,2,3,3,1,1,-5.6805059256148525
PIT,2,16,17,27,290,179,1,8.335159954724112
PIT,0,17,18,24,274,119,1,11.097580417471296
PIT,1,18,18,20,152,127,3,0.573040845541982
BAL,1,10,13,23,223,116,3,-5.893444059215654
BAL,2,11,16,26,264,150,3,8.243131167493246
BAL,1,12,18,32,177,120,2,-3.558443205733816
BAL,3,14,24,43,316,107,2,11.559825902449342
BAL,1,15,14,24,171,72,3,-3.565044596736317
BAL,2,16,23,35,252,148,2,4.920349201298974
BAL,5,17,18,21,321,157,1,28.995928248681594
TB,2,10,18,29,278,118,3,7.865437767983115
TB,1,11,29,45,246,125,4,-9.188732027629158
TB,2,12,20,30,199,89,6,-7.509872112456654
TB,1,13,14,29,202,106,1,-3.701134300499689
TB,2,14,14,29,144,101,1,2.4492407522937616
TB,4,15,22,28,381,182,5,23.46660046726831
TB,2,16,26,35,283,95,2,12.943090209003836
TB,2,17,22,33,309,147,2,6.979737302695867
TB,0,18,20,32,137,85,3,-7.991260263885486
BUF,1,10,15,26,177,83,0,-5.041388048557565
BUF,3,11,20,32,275,190,1,12.000879541489958
BUF,2,12,29,51,339,145,1,7.660534720481227
BUF,1,14,23,42,233,147,3,-2.0088587999831455
BUF,1,15,7,15,94,47,1,-0.4609956982137855
BUF,1,16,15,21,237,83,1,10.033300907642117
BUF,0,17,15,30,169,61,1,-4.945098244781253
BUF,2,18,30,38,359,136,3,3.935817859484814
SF,0,10,1,2,6,10,0,-2.4168919341173023
SF,0,15,2,3,20,21,0,0.04260692391489673
SF,1,16,8,14,81,34,2,-0.6477612565504387
SF,0,17,0,0,0,0,1,-1.7085371020948514
SF,1,18,16,26,189,88,3,5.523995909395049
CIN,1,11,8,14,68,27,3,-5.374978195216586
CIN,1,12,19,26,227,128,4,-2.747910093474186
CIN,1,13,32,37,354,204,2,19.50506688831062
CIN,2,14,18,24,275,205,0,7.979605776898097
CIN,2,15,29,42,324,160,4,10.253093997918768
CIN,1,16,28,42,335,194,3,-8.639249561096868
CIN,1,17,19,33,197,112,6,0.0672544692590038
CIN,3,18,18,24,156,79,2,2.503222872829731
ARI,0,10,19,32,249,114,2,-5.510303714336204
ARI,1,11,20,30,214,102,3,-6.826709361931806
ARI,1,12,27,45,256,115,4,-13.317040873352765
ARI,1,13,13,23,145,72,2,1.144690662534536
ARI,1,15,26,39,211,109,3,-6.408165062213152
ARI,2,16,24,38,230,179,2,-5.7748675456398555
ARI,3,17,25,31,232,115,1,9.116396065266414
ARI,1,18,22,30,262,171,1,14.697530754196652
DEN,1,17,20,32,224,174,2,4.700232412085761
DEN,1,18,20,34,272,160,5,0.3531887839199044
LAC,0,14,13,24,179,48,2,-6.7211686507216655
LAC,3,15,23,32,257,174,3,-10.32050233357586
LAC,0,16,23,33,215,81,5,-1.0849161199779078
LAC,0,17,24,38,220,97,1,-0.6990487659365119
LAC,0,18,28,47,258,181,3,-15.186350245580387
IND,0,10,18,28,194,57,0,2.4175481618581065
IND,0,12,24,41,251,132,2,-0.09710011280425236
IND,2,13,26,42,312,129,3,4.990761869994218
IND,1,14,26,39,240,110,3,-0.4344656739080248
IND,3,15,18,28,215,111,3,-0.6965998019654951
IND,0,16,20,37,201,73,6,-8.085402387826932
IND,1,17,15,23,224,125,1,11.492219796404244
IND,0,18,13,24,141,61,1,-4.5657571244969954
SEA,0,11,2,6,3,3,0,-5.48228724184446
SEA,2,14,22,31,269,167,4,-0.2363125089323148
SEA,1,15,22,33,208,83,2,3.265447533214444
BAL,1,17,1,1,19,0,0,4.22594323719386
BAL,1,18,15,28,146,53,4,-4.674275439687568
MIA,2,11,28,39,325,146,1,4.769229019801378
MIA,1,12,21,30,243,124,2,4.45056448865949
MIA,2,13,18,24,280,173,0,19.67799806176171
MIA,0,14,23,33,240,84,5,-7.438043209396787
MIA,1,15,21,24,224,152,3,9.223429321831444
MIA,1,16,24,37,293,96,1,7.294361547796323
MIA,2,17,22,38,237,115,3,-0.4419396678963432
MIA,1,18,17,27,173,46,0,1.2538411483401433
GB,2,10,21,40,289,90,1,5.195348850801602
GB,2,11,27,40,322,192,3,10.750950282512571
GB,3,12,22,32,268,72,0,12.759378605006113
GB,3,13,25,36,267,112,2,15.392143603934803
GB,1,14,25,39,218,134,2,-0.21791342134478953
GB,2,15,29,39,284,133,2,3.926120546559818
GB,2,16,17,28,219,94,1,11.282902940933512
GB,3,17,24,33,256,121,0,14.013365820699596
GB,2,18,27,32,316,153,1,15.073805185603186
LAC,4,10,27,40,323,165,0,14.587980706253925
LAC,2,11,21,36,260,104,2,5.060112854914548
LAC,1,12,29,44,217,117,3,-11.907626775650716
LAC,0,13,22,37,212,104,0,2.007862655023166
LAC,0,14,9,17,96,63,4,-19.54357248696033
PHI,0,11,14,22,150,59,5,-3.4149417451117188
PHI,3,12,18,31,200,86,2,0.08719554189211765
PHI,1,13,26,45,298,156,3,10.26057722323575
PHI,0,14,18,27,197,79,1,2.5487039626868744
PHI,0,15,17,31,143,47,0,1.71635226032231
PHI,1,16,24,38,301,179,1,7.383805972453136
PHI,3,17,18,23,167,73,0,11.54995583853046
PHI,0,18,7,16,55,11,2,-10.87321348884143
CIN,2,10,27,40,347,163,4,3.1982571250112413
CIN,1,11,11,17,101,62,2,2.9155140989400716
HOU,0,11,1,1,2,5,0,-0.95239889761433
HOU,0,13,1,1,18,12,0,1.542847081553191
HOU,0,14,1,5,4,1,1,-9.069208267668728
HOU,0,15,0,0,0,0,1,-0.18297453355626203
HOU,2,16,15,32,149,56,0,3.6321571189328097
TB,0,12,0,1,0,0,0,-1.8803028730234743
CHI,1,11,16,23,169,47,2,4.194769059140295
CHI,0,12,27,37,217,163,3,-5.58729195784216
CHI,1,14,19,33,223,93,3,2.9458508168047564
CHI,1,15,19,40,166,96,3,-15.480020451794951
CHI,1,16,15,27,170,35,1,-3.621005084270454
CHI,1,17,20,32,268,132,3,5.367985639412293
CHI,0,18,11,16,148,56,5,-1.293238689303349
JAX,0,10,17,29,185,107,5,-17.344053464164666
JAX,2,11,24,32,262,83,1,16.51056056429875
JAX,1,12,23,38,364,210,0,11.43723191408566
JAX,2,13,22,29,258,77,2,10.467320891881942
JAX,3,14,28,50,257,120,4,-6.312173207261367
JAX,1,15,25,43,264,95,1,-12.136260574116172
JAX,1,16,17,29,211,75,3,-4.898182343913382
JAX,2,18,29,43,280,109,0,1.6498609748086892
NE,0,10,15,20,170,126,5,-3.619902146221295
NE,0,12,12,21,89,91,1,-9.911773824656848
NYJ,0,10,23,39,263,149,2,-4.123176070408278
NYJ,1,11,7,15,81,59,5,-7.6109845521859825
NYJ,2,14,27,36,301,138,4,7.829823942284432
NYJ,0,15,4,11,26,9,4,-13.859405201656044
WAS,3,10,29,44,312,230,3,11.658417408175437
WAS,1,11,31,45,256,171,4,-8.88358981184046
WAS,0,12,28,44,300,156,4,-12.348847936825509
WAS,0,13,12,23,127,43,3,-14.074273457233677
WAS,1,15,11,26,102,34,1,-12.578237459412776
WAS,0,16,6,22,56,51,1,-23.490221187123097
WAS,1,17,17,28,169,103,1,-9.632565840491566
WAS,1,18,19,27,153,143,4,-6.822633927639816
SF,3,10,19,26,296,122,2,17.11725111317794
SF,3,11,21,25,333,180,4,15.87038970358464
SF,1,12,21,30,209,100,1,0.7482287154365754
SF,4,13,19,27,314,212,2,22.329711401311215
SF,2,14,19,27,368,175,3,12.758138486300597
SF,4,15,16,25,242,90,0,18.1681928660837
SF,0,16,18,32,255,135,2,-18.069514673683724
SF,2,17,22,28,230,88,0,12.450718497306733
PIT,0,10,14,23,126,85,1,-5.687628693613217
PIT,0,11,15,28,106,61,3,-11.89154918366694
PIT,0,12,24,33,278,122,2,11.777032637398312
